"topic","top_terms"
1,"covid-19, safe, effect, amp, shot, booster, vaccin, rt, free, pfizer"
2,"amp, million, @potus, rt, see, i’m, biden, u., w, effort"
3,"vaccin, news, great, rt, today, covid, author, good, use, #covid19"
4,"vaccin, approv, it’, know, take, pfizer, encourag, fda, end, mask"
5,"rt, conspiraci, develop, theori, presid, cover, trump, oper, speed, thank"
6,"american, vaccin, plan, support, hous, fund, vote, help, act, just"
7,"rt, vaccin, today, appoint, clinic, covid-19, avail, counti, site, visit"
8,"vaccin, covid-19, receiv, dose, #covid19, health, new, week, first, thank"
9,"vaccin, get, now, #covid19, can, elig, protect, one, age, help"
10,"fake, rt, hoax, trump, hear, say, call, news, media, said"
11,"vaccin, need, work, distribut, peopl, covid, state, communiti, pandem, must"
12,"vaccin, mandat, biden, rt, biden’, presid, feder, unconstitut, busi, govern"
