topic_id,short_label,description,category,keywords
1,Vaccine safety and efficacy,"This topic focuses on discussions surrounding the safety and effectiveness of COVID-19 vaccines, including booster shots and their impact. It highlights the importance of vaccination in combating the pandemic.",public_health,"covid-19, safe, effect, booster, vaccine, free, pfizer"
2,Government Efforts on Vaccines,"This topic focuses on the efforts and initiatives taken by the government, particularly the Biden administration, to promote COVID-19 vaccination. It highlights the communication and outreach strategies aimed at increasing vaccination rates.",vaccine_distribution,"Biden, government, vaccination, efforts, outreach, million, public health"
3,Positive Vaccine News,This topic focuses on the positive news and updates related to COVID-19 vaccines. It highlights the benefits and good news surrounding vaccine developments and usage.,public_health,"vaccine, news, COVID-19, positive, updates, good, use, great"
4,Vaccine Approval and Encouragement,This topic focuses on the approval process of COVID-19 vaccines and encourages the public to get vaccinated. It highlights the role of the FDA and the importance of vaccination in ending the pandemic.,public_health,"vaccine, approval, Pfizer, FDA, encourage, mask, take, know, end"
5,Conspiracy Theories,"This topic focuses on the spread of conspiracy theories related to COVID-19 vaccines, particularly those involving political figures and government actions. It highlights the skepticism and distrust surrounding vaccine development and distribution.",misinformation_conspiracy,"conspiracy, theories, Trump, cover, speed, develop, misinformation, politics, skepticism"
6,Vaccine funding and support,This topic focuses on the legislative efforts and plans to support and fund vaccine distribution and access in the United States. It highlights the role of Congress in voting on related measures and providing assistance to the public.,vaccine_distribution,"fund, support, vaccine, plan, vote, help, act, American, Congress"
7,Vaccine Appointment Availability,This topic focuses on the availability of COVID-19 vaccine appointments at various clinics and sites. It highlights efforts to inform the public about where and when they can get vaccinated.,vaccine_distribution,"vaccine, appointment, clinic, COVID-19, availability, site, visit, county, today"
8,Vaccine distribution updates,"This topic focuses on updates and information regarding the distribution of COVID-19 vaccines, including doses received and health-related announcements. It highlights the ongoing efforts to vaccinate the population against COVID-19.",vaccine_distribution,"vaccine, COVID-19, receive, dose, health, update, week, thank"
9,Vaccine eligibility and access,"This topic focuses on the importance of getting vaccinated against COVID-19, highlighting eligibility criteria and the benefits of vaccination. It emphasizes the urgency and accessibility of vaccines for different age groups.",vaccine_distribution,"vaccine, eligibility, COVID-19, protect, access, age, help, get, now"
10,Vaccine Misinformation,This topic focuses on the spread of false information and conspiracy theories related to COVID-19 vaccines. It highlights the role of media and public figures in perpetuating these narratives.,misinformation_conspiracy,"fake, hoax, Trump, media, news, conspiracy, misinformation, call, say"
11,Vaccine distribution efforts,This topic focuses on the need for effective distribution of COVID-19 vaccines to communities and the importance of collaboration among states and organizations. It emphasizes the urgency of ensuring that people have access to vaccines during the pandemic.,vaccine_distribution,"vaccine, distribution, communities, COVID-19, states, pandemic, access, need, work"
12,Vaccine Mandates and Politics,"This topic focuses on the political discussions surrounding vaccine mandates, particularly in relation to the Biden administration's policies. It includes debates about the constitutionality of mandates and their impact on businesses and governance.",mandates_politics,"vaccine, mandate, Biden, government, constitutional, business, federal, politics"
